area_code,food_overall_rank,food_CoreDeclineScore,area_name,all_industry_rank,all_industry_CoreDeclineScore
3110341,470.0,-0.0871330868393932,북한산우이역 2번,382,0.27693652274375696
3110343,,,무너미어린이공원,136,0.8549393809777388
3110345,67.0,1.0959198158979673,솔밭공원역 2번,269,0.48669477695730184
3110346,219.0,0.39681724250668,4.19민주묘지역 2번,335,0.35263972463740223
3110348,,,강북문화예술회관,322,0.36803277757960096
3110350,89.0,0.9086615828080448,가오리역 2번,211,0.6228590545524326
3110352,141.0,0.6213054065477761,수유1동주민센터,270,0.4841242983009142
3110353,,,수유동우체국,493,0.10890897879178073
3110355,,,삼양사거리역 2번,558,0.014588912459028477
3110356,,,덕수교,675,-0.16006923778160576
3110358,,,인수동 우편취급국,40,1.7373580488435096
3110359,122.0,0.6988964783364058,수유시장옆,922,-0.629748095376052
3110360,264.0,0.3070127035488663,수유초등학교,197,0.6496892609973788
3110361,,,삼양사거리역 1번,1,3.567445860042013
3110362,110.0,0.772067628562035,,,
3110364,797.0,-0.9526538421974096,,,
3110365,,,미아역 5번,797,-0.3680190224369606
3110366,249.0,0.3411681474893263,광산사거리,256,0.5203433138004058
3110367,607.0,-0.3487977841151636,강북구청,806,-0.3892377678123606
3110369,515.0,-0.1836191406537216,성신여대운정그린캠퍼스,357,0.314026296311956
3110370,712.0,-0.6222438043810191,도봉세무서,998,-0.8973930849816473
3110371,331.0,0.1775953814108894,삼양입구사거리,590,-0.03436155044234093
3110372,658.0,-0.4774760916198171,,,
3110373,835.0,-1.4353906885979764,수유역 2번,1011,-0.9493152321934927
3110374,155.0,0.5889206183755284,,,
3110376,292.0,0.2429399839402413,수송초등학교,796,-0.36732650189338817
3110377,33.0,1.4818277247328109,미아사거리역 3번,41,1.726861167945004
3110378,,,송중동주민센터,748,-0.2800431180751281
3110383,235.0,0.3664093284696924,덕성여대시반거리,172,0.712994056757938
3110387,25.0,1.595898773706507,쌍문초등학교,259,0.51718879905834
3110388,,,도봉우체국,726,-0.24982667798324182
3110390,605.0,-0.3470940373061063,방학초등학교,477,0.13946611848045895
3110391,,,샘말어린이공원,21,2.163589551478985
3110392,,,발바닥공원,367,0.2982775454420424
3110394,121.0,0.7012169255025333,방학중학교,249,0.5385823657918076
3110395,78.0,1.0292368828563596,신한은행 방학동지점,111,0.9846547254874494
3110396,439.0,-0.0353931591223405,쌍문역1번(쌍리단길),536,0.05521531058595552
3110397,146.0,0.6120410006330601,도봉산입구,434,0.21485183268779376
3110398,771.0,-0.8235023374436785,쌍문2동우체국,872,-0.5203693773371196
3110399,248.0,0.3442196118176921,창2동주민센터,845,-0.4689883721362863
3110400,128.0,0.6744659635049872,도봉구보건소,48,1.5598885921260948
3110402,497.0,-0.1426733008058587,도봉구 정병원,161,0.7529661838412738
3110403,431.0,-0.0179711444152635,방학1동주민센터,281,0.4418151327559806
3110404,139.0,0.6342700617211565,신창초등학교,461,0.16609257606540004
3110405,247.0,0.3443834908705491,방학역 1번,535,0.056828340401009966
3110406,395.0,0.0458555888812198,도봉산역 1번,559,0.013377273077960827
