quarter,area_code,sales_amount,transactions,floating_population,segment,dimension,average_ticket,year
20224,3110091,7643457,328,14892,10대,age,23303.22256097561,2022
20224,3120005,177329595,12239,40031,10대,age,14488.895743116267,2022
20231,3110091,3206861,148,14025,10대,age,21667.97972972973,2023
20231,3120005,53609642,5429,38833,10대,age,9874.680788358814,2023
20232,3110091,4817980,274,12223,10대,age,17583.868613138686,2023
20232,3120005,121212869,9041,45434,10대,age,13407.020130516536,2023
20233,3110091,19613705,447,13634,10대,age,43878.534675615214,2023
20233,3120005,78989069,5583,39749,10대,age,14148.140605409279,2023
20234,3110091,29005698,565,14382,10대,age,51337.5185840708,2023
20234,3120005,92847750,7375,39792,10대,age,12589.525423728814,2023
20241,3110091,14873648,268,16065,10대,age,55498.68656716418,2024
20241,3120005,50658697,4057,34260,10대,age,12486.738230219375,2024
20242,3110091,14388413,339,13651,10대,age,42443.69616519174,2024
20242,3120005,76260766,7161,44981,10대,age,10649.457617651165,2024
20243,3110091,25332978,497,15062,10대,age,50971.78672032193,2024
20243,3120005,64542497,5715,40612,10대,age,11293.525284339457,2024
20244,3110091,27545110,549,15079,10대,age,50173.24225865209,2024
20244,3120005,104007181,6574,41859,10대,age,15820.988895649529,2024
20251,3110091,4561301,132,17068,10대,age,34555.31060606061,2025
20251,3120005,22815386,1807,35803,10대,age,12626.112894299944,2025
20252,3110091,10897674,335,12988,10대,age,32530.370149253733,2025
20252,3120005,77030322,5941,41916,10대,age,12965.884867867362,2025
20253,3110091,12546039,244,17170,10대,age,51418.19262295082,2025
20253,3120005,50561171,3674,35772,10대,age,13761.886499727818,2025
20254,3110091,10568764,230,13974,10대,age,45951.147826086955,2025
20254,3120005,70488089,4652,37893,10대,age,15152.21173688736,2025
20221,3110091,648956944,28807,49419,20대,age,22527.751727010796,2022
20221,3120005,2320784593,126208,45394,20대,age,18388.56960731491,2022
20222,3110091,811227217,37726,57596,20대,age,21503.133568361343,2022
20222,3120005,3333113799,191801,49484,20대,age,17377.979254539863,2022
20223,3110091,650141337,28433,54995,20대,age,22865.731262969086,2022
20223,3120005,2799686223,175263,44208,20대,age,15974.20004792797,2022
20224,3110091,498294290,20205,51595,20대,age,24661.929720366246,2022
20224,3120005,3397797382,184243,46317,20대,age,18441.934738361837,2022
20231,3110091,532243319,21891,54213,20대,age,24313.33968297474,2023
20231,3120005,2635045744,143213,47391,20대,age,18399.487085669596,2023
20232,3110091,589195353,24325,53448,20대,age,24221.802795477903,2023
20232,3120005,2823017575,180944,46999,20대,age,15601.609199531347,2023
20233,3110091,609748319,23095,58293,20대,age,26401.745789131848,2023
20233,3120005,2430719082,161859,45573,20대,age,15017.509573147,2023
20234,3110091,640099572,20429,58310,20대,age,31332.888149199665,2023
20234,3120005,2433204649,149164,48695,20대,age,16312.27808988764,2023
20241,3110091,620204417,17916,57273,20대,age,34617.34857110962,2024
20241,3120005,1964216438,127609,45901,20대,age,15392.460077267277,2024
20242,3110091,531228994,18872,60571,20대,age,28149.05648579907,2024
20242,3120005,2449875482,175483,51057,20대,age,13960.756779859017,2024
20243,3110091,472780311,16861,61710,20대,age,28039.873732281598,2024
20243,3120005,2106056435,133855,48735,20대,age,15733.864517574988,2024
20244,3110091,498313312,15596,64617,20대,age,31951.35368043088,2024
20244,3120005,2491786952,131416,49963,20대,age,18961.06221464662,2024
20251,3110091,402445753,12623,62288,20대,age,31881.94193139507,2025
20251,3120005,1706122590,87408,46927,20대,age,19519.06679022515,2025
20252,3110091,393450080,12024,60962,20대,age,32722.0625415835,2025
20252,3120005,2434072646,131991,51243,20대,age,18441.201642536234,2025
20253,3110091,412269910,10698,64974,20대,age,38537.10132735091,2025
20253,3120005,1883664465,105207,45904,20대,age,17904.364395905217,2025
20254,3110091,312132117,8990,59432,20대,age,34719.92402669633,2025
20254,3120005,2059394088,91278,50252,20대,age,22561.779267731545,2025
20221,3110091,580018414,19779,52462,30대,age,29324.961524849587,2022
20221,3120005,3241448828,151557,44738,30대,age,21387.65499449052,2022
20222,3110091,820003072,31932,60367,30대,age,25679.665288738568,2022
20222,3120005,5113795304,243030,51649,30대,age,21041.82736287701,2022
20223,3110091,569672197,20612,56542,30대,age,27637.890403648362,2022
20223,3120005,4364661385,224309,46942,30대,age,19458.253502980264,2022
20224,3110091,573353689,17730,55369,30대,age,32338.0535250987,2022
20224,3120005,4568642176,205111,49392,30대,age,22273.998839652675,2022
20231,3110091,582583758,20280,55590,30대,age,28727.00976331361,2023
20231,3120005,4202945401,185115,50503,30대,age,22704.510174756233,2023
20232,3110091,558476635,21413,55896,30대,age,26081.195301919393,2023
20232,3120005,5058489105,238427,54676,30대,age,21216.091738771196,2023
20233,3110091,505207099,19956,58752,30대,age,25316.05026057326,2023
20233,3120005,3987373986,216571,51801,30대,age,18411.393889301893,2023
20234,3110091,485271906,17445,60979,30대,age,27817.248839208944,2023
20234,3120005,4129202462,181622,52070,30대,age,22735.14476219841,2023
20241,3110091,537007913,19061,56117,30대,age,28173.123813021353,2024
20241,3120005,3484955583,166712,48376,30대,age,20904.047597053603,2024
20242,3110091,557503489,20399,61727,30대,age,27329.942105005146,2024
20242,3120005,4983577458,256226,54594,30대,age,19449.9288050393,2024
20243,3110091,435701042,15734,61370,30대,age,27691.68946231092,2024
20243,3120005,3624668006,197941,49076,30대,age,18311.860635239795,2024
20244,3110091,487155126,15286,63325,30대,age,31869.365824937853,2024
20244,3120005,4384803569,192533,49853,30대,age,22774.296193379836,2024
20251,3110091,454662176,15317,62883,30대,age,29683.500424365084,2025
20251,3120005,3368170943,149362,49801,30대,age,22550.38726717639,2025
20252,3110091,438654429,14412,60605,30대,age,30436.749167360533,2025
20252,3120005,4793739603,226346,56908,30대,age,21178.81298101137,2025
20253,3110091,317146586,10066,63529,30대,age,31506.714285714286,2025
20253,3120005,3758062281,163394,51561,30대,age,23000.001719769392,2025
20254,3110091,271627177,9338,58259,30대,age,29088.36763760977,2025
20254,3120005,3583719737,145726,55552,30대,age,24592.17803960858,2025
20221,3110091,228464957,6095,33966,40대,age,37483.996226415096,2022
20221,3120005,2436840168,104309,47892,40대,age,23361.744125626745,2022
20222,3110091,288317233,10095,37451,40대,age,28560.3995047053,2022
20222,3120005,5046544278,201757,54957,40대,age,25012.982340141854,2022
20223,3110091,318340294,7960,34238,40대,age,39992.49924623116,2022
20223,3120005,4704935695,193065,51876,40대,age,24369.697744283014,2022
20224,3110091,217115446,6149,35751,40대,age,35309.06586436819,2022
